"names","budgets","years","currencies"
"Arañas infernales",NA,"1968",NA
"Cervantes",NA,"1967",NA
"Chantaje a un asesino",NA,"1966",NA
"The Chase",NA,"1966",NA
"Una chica para dos",NA,"1966",NA
"I 5 della vendetta",NA,"1966",NA
"La ciudad no es para mí",NA,"1966",NA
"Clarines y campanas",NA,"1966",NA
"Un colpo da mille miliardi",NA,"1966",NA
"Comando de asesinos",NA,"1966",NA
"Come svaligiammo la banca d'Italia",NA,"1966",NA
"The Crazy-Quilt",250000,"1966","USD"
"I crudeli",NA,"1967",NA
"Les créatures",1340000,"1966","SEK"
"Cuando tú no estás",NA,"1966",NA
"The Chinese Room",NA,"1968",NA
"Cul-de-sac",NA,"1966",NA
"Culpable para un delito",NA,"1966",NA
"La curée",NA,"1966",NA
"Dai-bosatsu tôge",NA,"1966",NA
"Daleks' Invasion Earth 2150 A.D.",286000,"1966","GBP"
"De dans van de reiger",6e+05,"1966","NLG"
"The Daydreamer",NA,"1966",NA
"De barro y oro",NA,"1966",NA
"De profesión, sospechosos",NA,"1966",NA
"Dead Heat on a Merry-Go-Round",2e+06,"1966","USD"
"Deadlier Than the Male",NA,"1967",NA
"Death Curse of Tartu",NA,"1966",NA
"Death Is a Woman",NA,"1966",NA
"L'espion",NA,"1966",NA
"El derecho de nacer",NA,"1966",NA
"2 ou 3 choses que je sais d'elle",NA,"1967",NA
"Le deuxième souffle",NA,"1966",NA
"The Witches",NA,"1966",NA
"Los diablos rojos",NA,"1966",NA
"Dikiy myod",NA,"1967",NA
"Dimension 5",NA,"1966",NA
"Django",NA,"1966",NA
"L'uomo dalla pistola d'oro",NA,"1965",NA
"Doctor in Clover",NA,"1966",NA
"Che notte ragazzi!",NA,"1966",NA
"Un dollaro tra i denti",250000,"1967","USD"
"""Don Quijote von der Mancha""",NA,"1965",NA
"Carry On... Don't Lose Your Head",NA,"1966",NA
"Don't Worry, We'll Think of a Title",NA,"1966",NA
"Dos alas",NA,"1967",NA
"Per un pugno nell'occhio",NA,"1965",NA
"2 mafiosi contro Al Capone",NA,"1966",NA
"Dos mil dólares por Coyote",NA,"1966",NA
"Dos pistolas gemelas",NA,"1966",NA
"How the Grinch Stole Christmas!",NA,"1966",NA
"I due parà",NA,"1965",NA
"I due sanculotti",NA,"1966",NA
"Duel at Diablo",NA,"1966",NA
"East of Sudan",NA,"1964",NA
"Con la muerte a la espalda",NA,"1967",NA
"The Emperor's New Clothes",NA,"1966",NA
"En Andalucía nació el amor",NA,"1966",NA
"The Endless Summer",50000,"1966","USD"
"El enigma del ataúd",NA,"1967",NA
"Coplan ouvre le feu à Mexico",NA,"1967",NA
"The Ernie Game",321000,"1967","CAD"
"¡Es mi hombre!",NA,"1966",NA
"El escapulario",NA,"1968",NA
"Every Girl's Dream",NA,"1966",NA
"Fahrenheit 451",1500000,"1966","USD"
"Joselito vagabundo",NA,"1966",NA
"Fantastic Voyage",5115000,"1966","USD"
"Fantasía... 3",NA,"1966",NA
"El fantástico mundo del doctor Coppelius",NA,"1966",NA
"Fantômas contre Scotland Yard",NA,"1967",NA
"The Fighting Prince of Donegal",NA,"1966",NA
"Un fiume di dollari",NA,"1966",NA
"Los flamencos",NA,"1968",NA
"Follow Me, Boys!",NA,"1966",NA
"Footsteps in the Snow",175000,"1966","CAD"
"The Fortune Cookie",3705000,"1966","USD"
"Four in the Morning",NA,"1965",NA
"Frankie and Johnny",4500000,"1966","USD"
"Las 7 magnificas",NA,"1966",NA
"Fray Torero",NA,"1966",NA
"The Frozen Dead",NA,"1966",NA
"Funeral in Berlin",NA,"1966",NA
"A Funny Thing Happened on the Way to the Forum",2e+06,"1966","USD"
"Furankenshutain no kaijû: Sanda tai Gaira",NA,"1966",NA
"Fünf vor 12 in Caracas",NA,"1966",NA
"Gambit",NA,"1966",NA
"Het gangstermeisje",580000,"1966","NLG"
"Ganovenehre",NA,"1966",NA
"Le gendarme à New York",NA,"1965",NA
"Georgy Girl",4e+05,"1966","USD"
"The Ghost in the Invisible Bikini",2e+05,"1966","USD"
"Girl from Tobacco Row",NA,"1966",NA
"The Girls from Thunder Strip",NA,"1970",NA
"The Glass Bottom Boat",NA,"1966",NA
"Gojira, Ebirâ, Mosura: Nankai no daiketto",1200000,"1966","USD"
"Residencia para espías",NA,"1966",NA
"Goldsnake 'Anonima Killers'",NA,"1966",NA
"Granatovyy braslet",NA,"1965",NA
"Grand Prix",9e+06,"1966","USD"
"La grande vadrouille",NA,"1966",NA
"Les grandes vacances",NA,"1967",NA
"The Great St. Trinian's Train Robbery",NA,"1966",NA
"The Group",NA,"1966",NA
"Los guardiamarinas",NA,"1967",NA
"La guerre est finie",NA,"1966",NA
"Dacii",20113000,"1966","ROL"
"Gunpoint",5e+05,"1966","USD"
"Sky West and Crooked",NA,"1966",NA
"La magnifica sfida",NA,"1965",NA
"Hallucination Generation",NA,"1966",NA
"Harper",3500000,"1966","USD"
"Hawaii",1.5e+07,"1966","USD"
"Una historia de amor",NA,"1967",NA
"El hombre de la furia",NA,"1966",NA
"L'homme de Marrakech",NA,"1966",NA
"L'homme à la Buick",NA,"1968",NA
"Hotel Paradiso",NA,"1966",NA
"How to Steal a Million",6e+06,"1966","USD"
"Huyendo del halcón",NA,"1966",NA
"Huida en la frontera",NA,"1966",NA
"The Idol",NA,"1966",NA
"In the Year 2889",NA,"1967",NA
"Incident at Phantom Hill",NA,"1966",NA
"Invasion",NA,"1966",NA
"Io la conoscevo bene",NA,"1965",NA
"Island of Terror",NA,"1966",NA
"""Cinéastes de notre temps""",NA,"1964",NA
"Joë Caligula - Du suif chez les dabes",NA,"1969",NA
"Johnny Oro",NA,"1966",NA
"Johnny Reno",NA,"1966",NA
"Judith",NA,"1966",NA
"I grandi condottieri",NA,"1965",NA
"Jugando a morir",NA,"1966",NA
"Juguetes rotos",NA,"1966",NA
"Der junge Törless",NA,"1966",NA
"Kaitei daisensô",NA,"1966",NA
"Kaleidoscope",NA,"1966",NA
"Katz und Maus",750000,"1967","DEM"
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",25313,"1967","RUR"
"Khartoum",6e+06,"1966","USD"
"Käpy selän alla",NA,"1966",NA
"Il ladro della Gioconda",NA,"1966",NA
"The Las Vegas Hillbillys",NA,"1966",NA
"Carré de dames pour un as",NA,"1966",NA
"Den levande skogen",NA,"1966",NA
"La Colt è la mia legge",NA,"1965",NA
"La ligne de démarcation",NA,"1966",NA
"Lord Love a Duck",8e+05,"1966","USD"
"Lost Command",NA,"1966",NA
"Lt. Robin Crusoe, U.S.N.",NA,"1966",NA
"Madame X",NA,"1966",NA
"Made in U.S.A",50000,"1966","USD"
"El mago de los sueños",NA,"1966",NA
"A Man Could Get Killed",NA,"1966",NA
"A Man for All Seasons",2e+06,"1966","USD"
"Manos: The Hands of Fate",19000,"1966","USD"
"Marat/Sade",NA,"1967",NA
"El marqués",NA,"1965",NA
"Mars Needs Women",20000,"1967","USD"
"Martin Soldat",NA,"1966",NA
"Masculin féminin",NA,"1966",NA
"Matchless",NA,"1967",NA
"Mayores con reparos",NA,"1966",NA
"Mañana de domingo",NA,"1966",NA
"Mañana será otro día",NA,"1967",NA
"Meet Marlon Brando",NA,"1966",NA
"Mestizo",NA,"1966",NA
"El milagro del cante",NA,"1967",NA
"1000 dollari sul nero",NA,"1966",NA
"De Minder gelukkige terugkeer van Joszef Katus naar het land van Rembrandt",30000,"1966","NLG"
"Missione sabbie roventi",NA,"1966",NA
"Miss Muerte",NA,"1966",NA
"Missione speciale Lady Chaplin",NA,"1966",NA
"Mister X",NA,"1967",NA
"Modesty Blaise",3e+06,"1966","USD"
"Mondo Topless",12000,"1966","USD"
"L'uomo di Toledo",NA,"1965",NA
"La mujer perdida",NA,"1966",NA
"Munster, Go Home!",NA,"1966",NA
"Murderers' Row",NA,"1966",NA
"Myglaren",NA,"1966",NA
"The Naked Prey",9e+05,"1965","USD"
"The Navy vs. the Night Monsters",178000,"1966","USD"
"Nessuno mi può giudicare",NA,"1966",NA
"Neulovimye mstiteli",NA,"1967",NA
"Nevada Smith",NA,"1966",NA
"Night Train to Mundo Fine",30000,"1966","USD"
"The Night of the Grizzly",NA,"1966",NA
"Noche de vino tinto",NA,"1966",NA
"Not with My Wife, You Don't!",NA,"1966",NA
"The Notorious Daughter of Fanny Hill",NA,"1966",NA
"Eroe vagabondo",NA,"1966",NA
"Un novio para dos hermanas",NA,"1967",NA
"Il nostro agente a Casablanca",NA,"1966",NA
"Een ochtend van zes weken",160000,"1966","NLG"
"Los ojos perdidos",NA,"1966",NA
"One Million Years B.C.",422816,"1966","GBP"
"Operazione Goldman",NA,"1966",NA
"Password: Uccidete agente Gordon",NA,"1966",NA
"Operación Plus Ultra",NA,"1966",NA
"Operación Secretaria",NA,"1966",NA
"Asso di picche - Operazione controspionaggio",NA,"1965",NA
"Operazione paura",50000,"1966","USD"
"Operazione poker",NA,"1965",NA
"Operação Estupefacientes - Macau",NA,"1966",NA
"Ormen",NA,"1966",NA
"The Oscar",NA,"1966",NA
"Paddle to the Sea",NA,"1966",NA
"El padre Manolo",NA,"1967",NA
"L'ombrellone",NA,"1965",NA
"Paris brûle-t-il?",NA,"1966",NA
"The Party's Over",NA,"1965",NA
"Penelope",4e+06,"1966","USD"
"Per mille dollari al giorno",NA,"1966",NA
"Mutiny at Fort Sharpe",NA,"1966",NA
"Europa canta",NA,"1966",NA
"Un perro en órbita",NA,"1966",NA
"Persona",NA,"1966",NA
"Picture Mommy Dead",NA,"1966",NA
"The Plague of the Zombies",NA,"1966",NA
"Poppies Are Also Flowers",NA,"1966",NA
"Press for Time",NA,"1966",NA
"El primer cuartel",NA,"1966",NA
"Proceso a una estrella",NA,"1966",NA
"The Professionals",NA,"1966",NA
"Circus of Fear",NA,"1966",NA
"The Psychopath",NA,"1966",NA
"Pas de panique",NA,"1966",NA
"L'uomo che viene da Canyon City",NA,"1965",NA
"Queen of Blood",NA,"1966",NA
"Querido profesor",NA,"1966",NA
"Qui êtes-vous, Polly Maggoo?",NA,"1966",NA
"The Quiller Memorandum",NA,"1966",NA
"Rage",NA,"1966",NA
"The Rare Breed",NA,"1966",NA
"I tre del Colorado",NA,"1965",NA
"Red Roses of Passion",NA,"1966",NA
"The Reptile",100599,"1966","GBP"
"Return of the Seven",NA,"1966",NA
"Ride Beyond Vengeance",650000,"1966","USD"
"Ringo del Nebraska",NA,"1966",NA
"Il ritorno di Ringo",NA,"1965",NA
"Le roi de coeur",NA,"1966",NA
"Rose rosse per Angelica",NA,"1968",NA
"The Russians Are Coming the Russians Are Coming",NA,"1966",NA
"Una ráfaga de plomo",NA,"1965",NA
"Río maldito",NA,"1966",NA
"Le Saint prend l'affût",NA,"1966",NA
"The Sand Pebbles",1.2e+07,"1966","USD"
"The Sandwich Man",NA,"1966",NA
"100.000 dollari per Ringo",NA,"1965",NA
"Santo el Enmascarado de Plata vs 'La invasión de los marcianos'",NA,"1967",NA
"Santo contra los cazadores de cabezas",NA,"1971",NA
"Savage Pampas",NA,"1966",NA
"Scalplock",NA,"1966",NA
"Le scandale",NA,"1967",NA
"Schwarzer Markt der Liebe",6e+05,"1966","DEM"
"Seconds",NA,"1966",NA
"El secreto de las esmeraldas",NA,"1968",NA
"Segretissimo",NA,"1967",NA
"7 magnifiche pistole",NA,"1966",NA
"Lo sceriffo che non spara",NA,"1965",NA
"7 dollari sul rosso",NA,"1966",NA
"The Silencers",NA,"1966",NA
"The Singing Nun",NA,"1966",NA
"Six Men Getting Sick",200,"1966","USD"
"Sjors en Sjimmie en de Gorilla",NA,"1966",NA
"Snow Excuse",NA,"1966",NA
"Sobótki",NA,"1966",NA
"Le solitaire passe à l'attaque",NA,"1966",NA
"The She Beast",15000,"1966","GBP"
"Die spanische Fliege",NA,"1966",NA
"Espi... ando",NA,"1966",NA
"Le spie uccidono a Beirut",NA,"1965",NA
"Le spie uccidono in silenzio",NA,"1966",NA
"Le spie vengono dal semifreddo",NA,"1966",NA
"Spinout",NA,"1966",NA
"Berlino appuntamento per le spie (Operazione Polifemo)",NA,"1965",NA
"The Spy in the Green Hat",NA,"1967",NA
"Stagecoach",3500000,"1966","USD"
"""Star Trek""",1.1e+07,"1966","CAD"
"Starshaya sestra",NA,"1967",NA
"The Love Statue",3e+05,"1965","USD"
"De stem van het water",NA,"1966",NA
"La strega in amore",NA,"1966",NA
"Su excelencia",NA,"1967",NA
"Su nombre es Daphne",NA,"1966",NA
"Sugar Colt",NA,"1966",NA
"Surcouf, l'eroe dei sette mari",NA,"1966",NA
"The Swap and How They Make It",NA,"1966",NA
"Tarzan and the Valley of Gold",NA,"1966",NA
"Teenage Mother",NA,"1967",NA
"Le colt cantarono la morte e fu... tempo di massacro",NA,"1966",NA
"Ten Little Indians",NA,"1965",NA
"Tendre voyou",NA,"1966",NA
"El tesoro de Makuba",NA,"1967",NA
"Texas Across the River",NA,"1966",NA
"The Texican",NA,"1966",NA
"That Riviera Touch",NA,"1966",NA
"They're a Weird Mob",6e+05,"1966","AUD"
"This Property Is Condemned",4e+06,"1966","USD"
"Three on a Couch",NA,"1966",NA
"Thunderbirds Are GO",NA,"1966",NA
"Le Tigre se parfume à la dynamite",NA,"1965",NA
"Tjorven och Mysak",NA,"1966",NA
"Il grande colpo di Surcouf",NA,"1966",NA
"Torn Curtain",6e+06,"1966","USD"
"Train d'enfer",NA,"1965",NA
"Trans-Europ-Express",NA,"1966",NA
"Transfer",300,"1966","USD"
"The Trap",NA,"1966",NA
"Roger la Honte",NA,"1966",NA
"3 notti violente",NA,"1966",NA
"Tri tolstyaka",NA,"1966",NA
"The Trouble with Angels",2e+06,"1966","USD"
"The Trygon Factor",4e+06,"1966","DEM"
"Uccellacci e uccellini",NA,"1966",NA
"Uccidi o muori",NA,"1966",NA
"The Ugly Dachshund",NA,"1966",NA
"Un homme et une femme",NA,"1966",NA
"The Undertaker and His Pals",NA,"1966",NA
"Das Vermächtnis des Inka",NA,"1965",NA
"Vestida de novia",NA,"1966",NA
"Las viudas",NA,"1966",NA
"Voyna i mir II: Natasha Rostova",NA,"1966",NA
"Waco",NA,"1966",NA
"Walk Don't Run",NA,"1966",NA
"Way... Way Out",2955000,"1966","USD"
"Wer kennt Johnny R.?",NA,"1966",NA
"What Did You Do in the War, Daddy?",7e+06,"1966","USD"
"What's Up, Tiger Lily?",NA,"1966",NA
"The Whisperers",NA,"1967",NA
"Who's Afraid of Virginia Woolf?",7500000,"1966","USD"
"The Wild Angels",360000,"1966","USD"
"The Wild World of Batwoman",NA,"1966",NA
"Winnetou und das Halbblut Apanatschi",3500000,"1966","DEM"
"Winnetou und sein Freund Old Firehand",NA,"1966",NA
"Winnie the Pooh and the Honey Tree",NA,"1966",NA
"The Wrong Box",NA,"1966",NA
"You're a Big Boy Now",8e+05,"1966","USD"
"Zarabanda Bing Bing",NA,"1966",NA
"Zontar: The Thing from Venus",22000,"1966","USD"
"Zorro il ribelle",NA,"1966",NA
"Dio, come ti amo!",NA,"1966",NA
"El ángel y yo",NA,"1966",NA
"Ön",NA,"1966",NA
"Último encuentro",NA,"1967",NA
"""The Atom Ant/Secret Squirrel Show""",NA,"1967",NA
"""The Carol Burnett Show""",NA,"1967",NA
"""Snap Judgment""",NA,"1967",NA
"""The Space Giants""",NA,"1966",NA
"Missione apocalisse",NA,"1966",NA
"48 Stunden bis Acapulco",NA,"1967",NA
"A ciascuno il suo",NA,"1967",NA
"Operazione San Pietro",NA,"1967",NA
"Accident",6e+05,"1967","USD"
"The Adventures of Bullwhip Griffin",NA,"1967",NA
"Africa: Texas Style",NA,"1967",NA
"Sicario 77, vivo o morto",NA,"1966",NA
"Agente Sigma 3 - Missione Goldwather",NA,"1967",NA
"Agente segreto 777 - Invito ad uccidere",NA,"1966",NA
"Lucky, el intrépido",NA,"1967",NA
"Agonizando en el crimen",NA,"1968",NA
"Al ponerse el sol",NA,"1967",NA
"Alexandre le bienheureux",NA,"1968",NA
"El amor brujo",NA,"1967",NA
"Amor en el aire",NA,"1967",NA
"Anna Karenina",NA,"1967",NA
"El aprendiz de clown",NA,"1967",NA
"Aquí mando yo",NA,"1967",NA
"Astérix le Gaulois",NA,"1967",NA
"Autopsia de un fantasma",NA,"1968",NA
"Aventura en el palacio viejo",NA,"1967",NA
"El aventurero de Guaynas",NA,"1966",NA
"Les aventuriers",NA,"1967",NA
"L'avventuriero",1325000,"1967","USD"
"The Ballad of Josie",NA,"1967",NA
"The Bandits",NA,"1967",NA
"I barbieri di Sicilia",NA,"1967",NA
"Barefoot in the Park",NA,"1967",NA
"Beach Red",NA,"1967",NA
"Bedazzled",6e+05,"1967","USD"
"Begushchaya po volnam",NA,"1967",NA
"Belle de jour",NA,"1967",NA
"Berserk",NA,"1967",NA
"The Big Mouth",NA,"1967",NA
"Billion Dollar Brain",NA,"1967",NA
"Biotaxia",NA,"1968",NA
"The Taming of the Shrew",4e+06,"1967","USD"
"Die blaue Hand",NA,"1967",NA
"The Blood Beast Terror",NA,"1968",NA
"Blood of Dracula's Castle",50000,"1969","USD"
"The Bobo",3e+06,"1967","USD"
"Bonnie and Clyde",2500000,"1967","USD"
"The Born Losers",360000,"1967","USD"
"A Witch Without a Broom",NA,"1967",NA
"Quién sabe?",NA,"1967",NA
"Küss mich, Monster",NA,"1969",NA
"Cada vez que...",NA,"1968",NA
"Camelot",1.3e+07,"1967","USD"
"Capitaine Singrid",NA,"1968",NA
"Caprice",NA,"1967",NA
"Caroline chérie",NA,"1968",NA
"Carry on Doctor",NA,"1967",NA
"La casa de las mil muñecas",NA,"1967",NA
"Casino Royale",1.2e+07,"1967","USD"
"Rote Lippen, Sadisterotica",NA,"1969",NA
"Catalina Caper",NA,"1967",NA
"Per il gusto di uccidere",NA,"1966",NA
"Blue Demon contra cerebros infernales",NA,"1968",NA
"Chelsea Girls",NA,"1966",NA
"Los chicos con las chicas",NA,"1967",NA
"Los chicos del Preu",NA,"1967",NA
"La chinoise",NA,"1967",NA
"Chuka",NA,"1967",NA
"Las cicatrices",NA,"1967",NA
"Cifrato speciale",NA,"1966",NA
"5 de chocolate y 1 de fresa",NA,"1968",NA
"Cita en Navarra",NA,"1967",NA
"Clambake",NA,"1967",NA
"Club de solteros",NA,"1967",NA
"Codo con codo",NA,"1967",NA
"El coleccionista de cadáveres",NA,"1970",NA
"Prescription: Murder",NA,"1968",NA
"Comanche blanco",NA,"1968",NA
"Come rubammo la bomba atomica",NA,"1967",NA
"Come rubare la corona d'Inghilterra",NA,"1967",NA
"The Comedians in Africa",NA,"1967",NA
"The Comedians",NA,"1967",NA
"How Much Loving Does a Normal Couple Need?",NA,"1967",NA
"Cool Hand Luke",3200000,"1967","USD"
"Cool It Baby",7000,"1967","USD"
"The Cool Ones",NA,"1967",NA
"Corona de lágrimas",NA,"1968",NA
"Corruption",NA,"1968",NA
"A Countess from Hong Kong",3500000,"1967","USD"
"Cover Girl",NA,"1968",NA
"Crónica de nueve meses",NA,"1967",NA
"40 grados a la sombra",NA,"1967",NA
"Las 4 bodas de Marisol",NA,"1967",NA
"Los cuatro salvajes",NA,"1967",NA
"Taekoesu Yonggary",117000,"1967","KRW"
"Dante no es únicamente severo",NA,"1967",NA
"The Deadly Affair",NA,"1966",NA
"The Deadly Bees",NA,"1966",NA
"El dedo del destino",NA,"1967",NA
"Indecent Desires",NA,"1968",NA
"Despedida de casada",NA,"1968",NA
"Devil's Angels",NA,"1967",NA
"Un diablo bajo la almohada",NA,"1968",NA
"Diaboliquement vôtre",2750000,"1967","DEM"
"Il magnifico Texano",NA,"1967",NA
"Joe l'implacabile",NA,"1967",NA
"Dinamite Jim",NA,"1966",NA
"Dio li crea... Io li ammazzo!",NA,"1968",NA
"Dio non paga il sabato",NA,"1967",NA
"Dio perdona... Io no!",NA,"1967",NA
"The Dirty Dozen",5400000,"1967","USD"
"Ditirambo",NA,"1969",NA
"Divorce American Style",NA,"1967",NA
"Djurado",NA,"1966",NA
"Doctor Dolittle",1.7e+07,"1967","USD"
"Navajo Joe",NA,"1966",NA
"Don't Raise the Bridge, Lower the River",NA,"1968",NA
"Doomsday Machine",NA,"1972",NA
"Dos hombres van a morir",NA,"1968",NA
"The Double Man",NA,"1967",NA
"Double Trouble",NA,"1967",NA
"Drra på - kul grej på väg till Götet",240000,"1967","SEK"
"I due figli di Ringo",NA,"1966",NA
"Un día después de agosto",NA,"1968",NA
"Días de viejo color",NA,"1968",NA
"Easy Come, Easy Go",2e+06,"1967","USD"
"Eight on the Lam",NA,"1967",NA
"El Dorado",4653000,"1967","USD"
"Elvira Madigan",NA,"1967",NA
"Encrucijada para una monja",NA,"1967",NA
"Enter Laughing",NA,"1967",NA
"Entre la mer et l'eau douce",116000,"1967","CAD"
"Veneri in collegio",NA,"1966",NA
"Escándalo en la familia",NA,"1967",NA
"Este cura",NA,"1968",NA
"El extraño viaje",NA,"1964",NA
"Faccia a faccia",NA,"1967",NA
"Fando y Lis",1e+05,"1968","USD"
"I fantastici 3 $upermen",NA,"1967",NA
"Triple Cross",NA,"1966",NA
"Far from the Madding Crowd",NA,"1967",NA
"The Fastest Guitar Alive",NA,"1967",NA
"Fathom",NA,"1967",NA
"Dance of the Vampires",2e+06,"1967","USD"
"La feldmarescialla",NA,"1967",NA
"The Fiction-Makers",NA,"1968",NA
"First to Fight",NA,"1967",NA
"Fitzwilly",NA,"1967",NA
"Five Golden Dragons",NA,"1967",NA
"Five the Hard Way",NA,"1969",NA
"The Flim-Flam Man",NA,"1967",NA
"Carry On... Follow That Camel",230000,"1967","GBP"
"Frankenstein Created Woman",NA,"1967",NA
"From the Drain",500,"1967","USD"
"Frontera al sur",NA,"1967",NA
"Galaxis",6000,"1967","DEM"
"Games",NA,"1967",NA
"Geheimnisse in goldenen Nylons",NA,"1967",NA
"I giorni dell'ira",NA,"1967",NA
"The Glory Stompers",NA,"1967",NA
"The Gnome-Mobile",NA,"1967",NA
"Good Morning... and Goodbye!",55000,"1967","USD"
"The Graduate",3e+06,"1967","USD"
"L'assalto al centro nucleare",NA,"1967",NA
"Il grande colpo dei 7 uomini d'oro",NA,"1966",NA
"Le grand restaurant",NA,"1966",NA
"Grandes amigos",NA,"1967",NA
"The Gruesome Twosome",40000,"1967","USD"
"La guerrillera de Villa",NA,"1967",NA
"Guess Who's Coming to Dinner",4e+06,"1967","USD"
"A Guide for the Married Man",2500000,"1967","USD"
"Gunfight in Abilene",NA,"1967",NA
"Half a Sixpence",NA,"1967",NA
"Hamelín",NA,"1969",NA
"Hang 'Em High",1600000,"1968","USD"
"The Happiest Millionaire",NA,"1967",NA
"Hasta el viento tiene miedo",NA,"1968",NA
"Hells Angels on Wheels",NA,"1967",NA
"The Hellcats",NA,"1968",NA
"Hillbillys in a Haunted House",2e+05,"1967","USD"
"Hombre",5860000,"1967","USD"
"El hombre de negro",NA,"1969",NA
"El hombre del puño de oro",NA,"1967",NA
"Per pochi dollari ancora",NA,"1966",NA
"El hombre que mató a Billy el Niño",NA,"1967",NA
"Un hombre y un colt",NA,"1967",NA
"The Honey Pot",6e+06,"1967","USD"
"The Hostage",NA,"1967",NA
"Hostile Guns",NA,"1967",NA
"Hot Rods to Hell",NA,"1967",NA
"Hotel",3651000,"1967","USD"
"Hour of the Gun",1800000,"1967","USD"
"How to Succeed in Business Without Really Trying",NA,"1967",NA
"El hueso",NA,"1967",NA
"Hurry Sundown",4e+06,"1967","USD"
"Ringo e Gringo contro tutti",NA,"1966",NA
"Il ne faut pas mourir pour ça",35000,"1967","CAD"
"In Cold Blood",3500000,"1967","USD"
"In Like Flint",3775000,"1967","USD"
"In the Heat of the Night",2e+06,"1967","USD"
"Indomptable Angélique",NA,"1967",NA
"Jack and the Beanstalk",NA,"1967",NA
"The Jackals",NA,"1967",NA
"Jag - en oskuld",NA,"1968",NA
"Jag är nyfiken - en film i gult",NA,"1967",NA
"Jet Generation - Wie Mädchen heute Männer lieben",NA,"1968",NA
"The Christmas Kid",NA,"1967",NA
"The Jungle Book",NA,"1967",NA
"Kaijûtô no kessen: Gojira no musuko",9e+05,"1967","USD"
"The Karate Killers",NA,"1967",NA
"Kid Sentiment",80000,"1968","CAD"
"Killer, adios",NA,"1968",NA
"Kingu Kongu no gyakushû",NA,"1967",NA
"Kiss Kiss... Bang Bang",NA,"1966",NA
"Komissar",NA,"1967",NA
"A koppányi aga testamentuma",NA,"1967",NA
"Las que tienen que servir",NA,"1967",NA
"The Last Challenge",NA,"1967",NA
"Liefdesbekentenissen",68000,"1967","NLG"
"The Long Duel",NA,"1967",NA
"The Longest Hundred Miles",NA,"1967",NA
"The Love-Ins",NA,"1967",NA
"Il lungo, il corto, il gatto",NA,"1967",NA
"Mad Monster Party?",NA,"1967",NA
"Madamigella di Maupin",NA,"1966",NA
"Magical Mystery Tour",NA,"1967",NA
"The Magnificent Two",NA,"1967",NA
"Il marchio di Kriminal",NA,"1968",NA
"Mariana",NA,"1968",NA
"La mariée était en noir",747000,"1968","USD"
"Martha",NA,"1967",NA
"Las locas del conventillo",NA,"1966",NA
"El matrimonio es como el demonio",NA,"1969",NA
"A Metafísica dos Chocolates",NA,"1967",NA
"The Million Eyes of Sumuru",NA,"1967",NA
"Un millón en la basura",NA,"1967",NA
"Mini-Skirt Love",NA,"1967",NA
"Mister Dynamit - Morgen küßt euch der Tod",NA,"1967",NA
"Mit Eichenlaub und Feigenblatt",NA,"1968",NA
"Mon amour, mon amour",NA,"1967",NA
"Mona, l'étoile sans nom",NA,"1966",NA
"Monkeys, Go Home!",NA,"1967",NA
"La morte ha fatto l'uovo",NA,"1968",NA
"La muchacha del Nilo",NA,"1969",NA
"La mujer de otro",NA,"1967",NA
"The Mummy's Shroud",NA,"1967",NA
"My Hustler",500,"1965","USD"
"Mónica Stop",NA,"1969",NA
"Der Mönch mit der Peitsche",NA,"1967",NA
"Nachalo nevedomogo veka",NA,"1967",NA
"Necronomicon - Geträumte Sünden",NA,"1968",NA
"Negresco - Eine tödliche Affäre",725000,"1968","DEM"
"Il raggio infernale",NA,"1967",NA
"Night Fright",18000,"1967","USD"
"Night of the Big Heat",NA,"1967",NA
"The Night of the Generals",NA,"1967",NA
"La niña del patio",NA,"1968",NA
"Non faccio la guerra, faccio l'amore",NA,"1966",NA
"La notte è fatta per... rubare",NA,"1968",NA
"Novios 68",NA,"1967",NA
"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",NA,"1967",NA
"Operación cabaretera",NA,"1967",NA
"Se sei vivo spara",NA,"1967",NA
"Oscar",NA,"1967",NA
"Otto ist auf Frauen scharf",NA,"1968",NA
"Our Mother's House",NA,"1967",NA
"Le pacha",NA,"1968",NA
"Panic in the City",NA,"1968",NA
"Paranoia",150000,"1967","NLG"
"Parol ne nuzhen",NA,"1967",NA
"Pasto de fieras",NA,"1969",NA
"Peau d'espion",NA,"1967",NA
"Pedro Páramo",NA,"1967",NA
"Peppermint Frappé",NA,"1967",NA
"Le petit baigneur",NA,"1968",NA
"La piel quemada",NA,"1967",NA
"Las pirañas",NA,"1967",NA
"Placer sangriento",NA,"1967",NA
"The Plank",NA,"1967",NA
"Playtime",NA,"1967",NA
"Le plus vieux métier du monde",NA,"1967",NA
"Point Blank",3e+06,"1967","USD"
"Les poneyttes",NA,"1967",NA
"Slave Girls",NA,"1967",NA
"The President's Analyst",2e+06,"1967","USD"
"Privilege",NA,"1967",NA
"Proceso de Gibraltar",NA,"1967",NA
"Professionisti per un massacro",NA,"1967",NA
"The Projected Man",NA,"1966",NA
"Puss & kram",380000,"1967","SEK"
"A Pál utcai fiúk",NA,"1969",NA
"Pähkähullu Suomi",302000,"1967","FIM"
"Quatermass and the Pit",275000,"1967","GBP"
"Ragan",NA,"1968",NA
